,logFC,logCPM,LR,PValue,FDR,gene_name,gene_type
ENSG00000149084,-0.102953709,4.493789489,0.038818086,0.843809492,0.920788919,HSD17B12,protein_coding
ENSG00000149089,-0.540915817,3.938697058,1.387347219,0.238853602,0.451731061,APIP,protein_coding
ENSG00000149090,-2.92999637,4.224340033,13.08908743,0.000297021,0.004530896,PAMR1,protein_coding
ENSG00000149091,0.417514064,4.918741838,1.057893389,0.303696146,0.520223227,DGKZ,protein_coding
ENSG00000149100,-0.317355157,6.50030841,0.463302819,0.496084428,0.689347314,EIF3M,protein_coding
ENSG00000149115,-0.2061051,6.820322797,0.19405723,0.659561056,0.806115618,TNKS1BP1,protein_coding
ENSG00000149124,2.862014796,-4.658890864,2.339131334,0.126159888,0.32080799,GLYAT,protein_coding
ENSG00000149131,-2.018714525,8.066578084,11.00882179,0.000906793,0.011132373,SERPING1,protein_coding
ENSG00000149136,0.436988519,7.841558827,1.14332224,0.284951415,0.499949273,SSRP1,protein_coding
ENSG00000149150,-2.696091282,2.185451447,26.07574941,3.28281393061408e-07,1.24177585249907e-05,SLC43A1,protein_coding
ENSG00000149177,0.530014683,4.547043504,0.661075454,0.416180524,0.625216143,PTPRJ,protein_coding
ENSG00000149179,-0.398225867,4.84439455,0.52625774,0.468184447,0.667071733,C11orf49,protein_coding
ENSG00000149182,-0.499997899,5.421303116,1.81466162,0.177950035,0.385034646,ARFGAP2,protein_coding
ENSG00000149187,0.119485679,7.057484787,0.099002127,0.753030423,0.865006148,CELF1,protein_coding
ENSG00000149196,0.358513029,7.610554949,0.444804216,0.504812733,0.695670451,HIKESHI,protein_coding
ENSG00000149201,-2.122121827,-0.50003578,20.70118659,5.36827248639687e-06,0.000145454,CCDC81,protein_coding
ENSG00000149212,-0.655092016,5.374679383,0.787995151,0.374707037,0.588617537,SESN3,protein_coding
ENSG00000149218,-0.783804604,6.07557649,2.249586696,0.133650095,0.331142552,ENDOD1,protein_coding
ENSG00000149231,0.008808517,7.053774883,0.000291755,0.986372128,0.994652,CCDC82,protein_coding
ENSG00000149243,4.391537498,2.85500658,13.79443557,0.000203939,0.003299183,KLHL35,protein_coding
ENSG00000149256,0.441564282,4.408548355,0.19105168,0.662042751,0.807470819,TENM4,protein_coding
ENSG00000149257,-0.256609315,6.998747863,0.189936596,0.662969394,0.80816791,SERPINH1,protein_coding
ENSG00000149260,-0.646011168,3.58826159,0.463338087,0.496068032,0.689347314,CAPN5,protein_coding
ENSG00000149262,0.716175607,4.384474859,2.065089025,0.150706128,0.353143606,INTS4,protein_coding
ENSG00000149269,0.476774134,6.652668515,0.964577241,0.326036333,0.542153961,PAK1,protein_coding
ENSG00000149273,-0.478142931,10.52427619,0.743284618,0.388610725,0.601206878,RPS3,protein_coding
ENSG00000149289,-0.422309258,6.275615558,0.347796317,0.55536324,0.734142268,ZC3H12C,protein_coding
ENSG00000149292,-0.662241886,3.284383304,1.603840647,0.205359783,0.415365634,TTC12,protein_coding
ENSG00000149294,-5.397075828,4.779228131,56.6601139,5.18037249935984e-14,1.17141173141774e-11,NCAM1,protein_coding
ENSG00000149295,-1.425729154,-0.775111258,0.845774965,0.357750334,0.573757937,DRD2,protein_coding
ENSG00000149305,0.239478615,-3.449794457,0.007892113,0.929211002,0.966969473,HTR3B,protein_coding
ENSG00000149308,0.220273746,4.02319793,0.218141728,0.640459491,0.793779499,NPAT,protein_coding
ENSG00000149311,-0.397902139,4.604988194,0.764577974,0.381899644,0.5951843,ATM,protein_coding
ENSG00000149313,0.200188503,7.387051829,0.155586297,0.693253051,0.826756873,AASDHPPT,protein_coding
ENSG00000149328,-1.931473186,3.37756759,7.27484168,0.006992706,0.051644254,GLB1L2,protein_coding
ENSG00000149346,1.897420809,3.47237363,12.49542285,0.00040795,0.005892764,SLX4IP,protein_coding
ENSG00000149357,-0.342552165,6.580994018,0.487562001,0.48501686,0.680896718,LAMTOR1,protein_coding
ENSG00000149380,-1.447038159,2.784199467,2.350548496,0.125238935,0.319497797,P4HA3,protein_coding
ENSG00000149403,-0.972486376,-2.091681835,0.782193976,0.376470983,0.59007439,GRIK4,protein_coding
ENSG00000149418,2.376625251,7.04104039,9.318089334,0.002269025,0.022692462,ST14,protein_coding
ENSG00000149428,0.611063007,5.729034153,0.885161591,0.346791848,0.562612877,HYOU1,protein_coding
ENSG00000149451,-4.564380151,2.343082712,40.2835081,2.19655398629962e-10,1.7965591686349e-08,ADAM33,protein_coding
ENSG00000149474,-0.412148923,4.286714036,0.913623543,0.339154811,0.555017451,KAT14,protein_coding
ENSG00000149476,0.190339294,4.037730496,0.153810813,0.694919889,0.827938484,TKFC,protein_coding
ENSG00000149480,0.771152222,6.929115894,3.400458126,0.065178314,0.22202356,MTA2,protein_coding
ENSG00000149483,0.394339534,4.884460696,0.715077292,0.397763409,0.609002197,TMEM138,protein_coding
ENSG00000149485,0.618370825,5.681049854,0.540858277,0.462077246,0.661742645,FADS1,protein_coding
ENSG00000149488,-0.140317176,-3.203074022,0.012367236,0.91145135,0.95767276,TMC2,protein_coding
ENSG00000149489,-1.410385657,0.531478988,11.43818781,0.000719499,0.009357505,ROM1,protein_coding
ENSG00000149499,-0.389811948,4.303551323,1.090018964,0.296467007,0.512665872,EML3,protein_coding
ENSG00000149503,2.327418877,4.05887337,13.06434502,0.00030097,0.004578545,INCENP,protein_coding
ENSG00000149506,1.686048215,-3.444078154,0.700092214,0.402752711,0.61346479,ZP1,protein_coding
ENSG00000149527,4.918445755,4.170412248,10.31611286,0.001318738,0.014987116,PLCH2,protein_coding
ENSG00000149531,0.113509755,1.67637584,0.021513614,0.883388396,0.943391442,FRG1BP,unprocessed_pseudogene
ENSG00000149532,0.215122248,6.854765876,0.283939791,0.594130489,0.762224977,CPSF7,protein_coding
ENSG00000149534,-2.590999328,3.19852504,13.20619841,0.000279025,0.004303334,MS4A2,protein_coding
ENSG00000149541,0.243664639,4.458197584,0.213904269,0.643724337,0.795773387,B3GAT3,protein_coding
ENSG00000149547,0.226348525,7.418885546,0.222406833,0.63721212,0.791570438,EI24,protein_coding
ENSG00000149548,2.566702072,1.977397892,17.27320659,3.23719464623765e-05,0.00068563,CCDC15,protein_coding
ENSG00000149554,4.378745856,4.985512703,43.73196612,3.76570523920234e-11,3.60768639318347e-09,CHEK1,protein_coding
ENSG00000149557,-1.141869409,3.902616764,1.326227906,0.249477387,0.463245511,FEZ1,protein_coding
ENSG00000149564,-2.991192882,4.003285178,46.95016271,7.28149440920084e-12,8.71314387416939e-10,ESAM,protein_coding
ENSG00000149571,0.584167409,0.327014207,0.202269602,0.652895092,0.801247661,KIRREL3,protein_coding
ENSG00000149573,1.444262603,7.137393745,3.159908914,0.075467394,0.241830652,MPZL2,protein_coding
ENSG00000149575,-3.710487685,-0.228627819,7.847018767,0.005090458,0.040991584,SCN2B,protein_coding
ENSG00000149577,-1.681530696,4.000893262,15.64333268,7.64817473789497e-05,0.001430683,SIDT2,protein_coding
ENSG00000149582,-1.327080509,3.648280646,7.391522108,0.006553201,0.049153802,TMEM25,protein_coding
ENSG00000149591,-3.921751125,7.823030114,25.39628252,4.66816831117864e-07,1.69492538457706e-05,TAGLN,protein_coding
ENSG00000149596,-4.27399989,4.514165881,28.3224779,1.02696537607043e-07,4.42949035207489e-06,JPH2,protein_coding
ENSG00000149599,-1.655665273,-0.619701329,2.989727186,0.083794284,0.256593158,DUSP15,protein_coding
ENSG00000149600,-0.260314182,3.902939008,0.243846238,0.621441856,0.779853383,COMMD7,protein_coding
ENSG00000149609,-0.0447254,-3.021934679,0.003281661,0.954317542,0.97921749,C20orf144,protein_coding
ENSG00000149633,-3.326149962,2.042699853,29.58340885,5.35614443482877e-08,2.48068538861881e-06,KIAA1755,protein_coding
ENSG00000149634,-1.038432926,-2.109663855,3.658461395,0.055785126,0.203024851,SPATA25,protein_coding
ENSG00000149636,2.904988544,5.94305848,21.42430433,3.68075741890946e-06,0.000104519,DSN1,protein_coding
ENSG00000149639,0.074789754,5.907036515,0.018008232,0.893248574,0.948824543,SOGA1,protein_coding
ENSG00000149646,0.226956206,-2.148621025,0.0885478,0.766031509,0.873504522,CNBD2,protein_coding
ENSG00000149654,2.487398491,-0.366368339,0.700307315,0.402680451,0.613427757,CDH22,protein_coding
ENSG00000149657,0.304555861,5.047768237,0.31572994,0.574185166,0.748389293,LSM14B,protein_coding
ENSG00000149658,0.282531033,5.935431347,0.48809744,0.484777223,0.680746755,YTHDF1,protein_coding
ENSG00000149679,1.721519711,3.166310411,7.203580227,0.007275829,0.053016717,CABLES2,protein_coding
ENSG00000149716,0.18358754,3.535368772,0.171256541,0.678997486,0.81762049,LTO1,protein_coding
ENSG00000149735,0.864158375,-2.584724401,0.363165503,0.54675343,0.727273448,GPHA2,protein_coding
ENSG00000149742,3.36419352,-4.484562588,3.673171673,0.055294868,0.20202959,SLC22A9,protein_coding
ENSG00000149743,0.355276978,2.934667437,0.533002793,0.465347152,0.66462074,TRPT1,protein_coding
ENSG00000149761,0.497843343,2.723386603,1.192845636,0.274756308,0.489603706,NUDT22,protein_coding
ENSG00000149781,0.665288461,3.014177474,0.747932002,0.387131762,0.599845879,FERMT3,protein_coding
ENSG00000149782,0.600026843,5.031312656,1.707306317,0.191335235,0.400069372,PLCB3,protein_coding
ENSG00000149792,-0.017491294,5.510342454,0.001608132,0.968012191,0.985582479,MRPL49,protein_coding
ENSG00000149806,-0.714986769,7.656097651,2.194159149,0.138534789,0.337909293,FAU,protein_coding
ENSG00000149809,2.160044436,3.427022441,5.399775431,0.020139343,0.107768437,TM7SF2,protein_coding
ENSG00000149823,-1.252242687,4.556897572,9.857930707,0.001691012,0.018164056,VPS51,protein_coding
ENSG00000149922,2.382253842,1.503104471,7.124211089,0.007604987,0.054746294,TBX6,protein_coding
ENSG00000149923,0.824972684,5.759323084,3.012806005,0.082609172,0.254342109,PPP4C,protein_coding
ENSG00000149925,2.685011055,2.188779835,12.8795207,0.000332197,0.004973741,ALDOA,protein_coding
ENSG00000149926,4.870455608,-1.087226262,14.19600759,0.00016472,0.002730794,TLCD3B,protein_coding
ENSG00000149927,1.100201532,-0.107970403,1.189485242,0.275433414,0.490355666,DOC2A,protein_coding
ENSG00000149929,-0.020473007,4.180516168,0.001794697,0.96620863,0.985206035,HIRIP3,protein_coding
ENSG00000149930,-0.379246479,5.090916002,1.037888859,0.308312976,0.525351782,TAOK2,protein_coding
ENSG00000149932,-0.370021713,6.787739224,0.364209163,0.546177816,0.726927249,TMEM219,protein_coding
ENSG00000149948,5.629489725,3.238593229,7.472799411,0.006263808,0.047489955,HMGA2,protein_coding
ENSG00000149968,5.966408675,4.787352632,6.498870618,0.010794304,0.069936576,MMP3,protein_coding
ENSG00000149970,0.757669564,3.070905216,0.312502298,0.576148719,0.749753706,CNKSR2,protein_coding
ENSG00000149972,0.220235901,-2.11873972,0.014864585,0.902962057,0.953767793,CNTN5,protein_coding
ENSG00000150045,-0.409998241,2.147752831,0.145192486,0.703172589,0.833328303,KLRF1,protein_coding
ENSG00000150048,-3.024084774,0.964977217,42.64230084,6.57226071662676e-11,5.86192947626482e-09,CLEC1A,protein_coding
ENSG00000150051,-0.225367826,0.984960161,0.043864393,0.834106113,0.915103468,MKX,protein_coding
ENSG00000150054,0.511808731,4.02708804,0.549599034,0.458481575,0.658925314,MPP7,protein_coding
ENSG00000150093,-0.558416783,7.700386754,0.760073391,0.383305556,0.596487996,ITGB1,protein_coding
ENSG00000150175,3.972932421,-4.217627467,2.435776306,0.11859517,0.310245877,FRMPD2B,unprocessed_pseudogene
ENSG00000150201,2.29785794,-2.556713092,0.653196893,0.41897202,0.627454318,FXYD4,protein_coding
ENSG00000150244,7.354029326,-1.726595363,1.573557401,0.209691144,0.420276805,TRIM48,protein_coding
ENSG00000150275,2.124349026,0.296601283,0.962512771,0.326554598,0.54263433,PCDH15,protein_coding
ENSG00000150276,4.735048964,-2.382680454,2.571425993,0.108809607,0.295811637,PPIAP26,processed_pseudogene
ENSG00000150281,-2.299114947,1.91403178,14.33859404,0.000152702,0.002561945,CTF1,protein_coding
ENSG00000150316,-0.20825953,5.629713331,0.199067407,0.655474663,0.803260104,CWC15,protein_coding
ENSG00000150337,2.415096914,2.161758905,5.125846855,0.023572066,0.119517645,FCGR1A,protein_coding
ENSG00000150347,-2.205805821,5.897499966,24.70746282,6.67253025046628e-07,2.31341964816899e-05,ARID5B,protein_coding
ENSG00000150394,1.416732426,-0.99977364,0.802015027,0.370491592,0.585185278,CDH8,protein_coding
ENSG00000150401,-0.185809006,3.409023656,0.201802818,0.653269582,0.801579997,DCUN1D2,protein_coding
ENSG00000150403,-0.459798464,6.300941906,0.843816955,0.358307397,0.574206741,TMCO3,protein_coding
ENSG00000150433,-0.013696223,3.864750631,0.000648398,0.979685133,0.991387196,TMEM218,protein_coding
ENSG00000150455,-0.685620897,1.524756052,1.782753721,0.181811549,0.389905896,TIRAP,protein_coding
ENSG00000150456,-0.64560134,3.250041191,1.690242529,0.193569002,0.402571685,EEF1AKMT1,protein_coding
ENSG00000150457,-1.410546767,3.338984435,5.668696426,0.017270285,0.097414614,LATS2,protein_coding
ENSG00000150459,-0.171634766,6.712251944,0.14641633,0.701983839,0.832475638,SAP18,protein_coding
ENSG00000150471,-2.950011071,1.18302561,9.835965598,0.001711324,0.018318258,ADGRL3,protein_coding
ENSG00000150477,-0.531486029,2.604108039,1.642097656,0.200037904,0.409544349,KIAA1328,protein_coding
ENSG00000150510,-1.862566019,2.132065424,7.666425113,0.005625781,0.043905603,FAM124A,protein_coding
ENSG00000150527,0.551292753,5.027107302,1.352487483,0.244843722,0.458123213,MIA2,protein_coding
ENSG00000150540,-2.322624827,6.519590797,15.2556753,9.38941949848594e-05,0.001704562,HNMT,protein_coding
ENSG00000150551,5.552054914,-0.076691467,7.807885764,0.005201873,0.041561254,LYPD1,protein_coding
ENSG00000150556,2.198934092,4.274424844,2.917289143,0.087634977,0.263290195,LYPD6B,protein_coding
ENSG00000150593,-0.81865482,5.990374188,2.921726046,0.087394334,0.262703314,PDCD4,protein_coding
ENSG00000150594,-3.240404419,1.877704791,20.11902166,7.27693403181756e-06,0.000190134,ADRA2A,protein_coding
ENSG00000150625,-7.184569493,1.152729947,58.44111908,2.09467006480553e-14,5.36811570858036e-12,GPM6A,protein_coding
ENSG00000150627,-3.904911577,0.698992296,19.71135272,9.00647267670941e-06,0.000227402,WDR17,protein_coding
ENSG00000150628,-3.355544767,-4.169686224,8.126991273,0.004361106,0.036494446,SPATA4,protein_coding
ENSG00000150630,-0.695414265,3.526306204,0.471124638,0.492470237,0.686767813,VEGFC,protein_coding
ENSG00000150636,-0.471385709,3.493974195,0.748317352,0.38700949,0.599809347,CCDC102B,protein_coding
ENSG00000150637,1.261647678,1.280718263,1.951391489,0.162436983,0.367357675,CD226,protein_coding
ENSG00000150656,1.589485607,-1.072800159,0.616364211,0.432401585,0.638266581,CNDP1,protein_coding
ENSG00000150667,0.19291397,-1.013447324,0.078591908,0.779214761,0.881647959,FSIP1,protein_coding
ENSG00000150672,-2.303339858,3.450169737,6.696884235,0.009658154,0.064744579,DLG2,protein_coding
ENSG00000150681,0.993744852,2.548676695,1.033781871,0.309272067,0.526169721,RGS18,protein_coding
ENSG00000150687,-1.582545796,6.618908711,5.390487487,0.020246814,0.108095407,PRSS23,protein_coding
ENSG00000150712,-0.277823423,6.125516663,0.266946138,0.605387724,0.77024073,MTMR12,protein_coding
ENSG00000150722,3.635330202,2.88502749,5.003772081,0.025292139,0.124891705,PPP1R1C,protein_coding
ENSG00000150750,4.514982819,0.589371922,3.784986764,0.051714319,0.194659788,C11orf53,protein_coding
ENSG00000150753,1.591559774,7.677907758,7.699977378,0.005522152,0.043341828,CCT5,protein_coding
ENSG00000150756,0.350174826,3.807666306,0.503336098,0.478037926,0.675401988,ATPSCKMT,protein_coding
ENSG00000150760,-0.679608126,6.32981486,2.024473183,0.154782592,0.358023176,DOCK1,protein_coding
ENSG00000150764,-3.529756973,4.129048636,55.02290848,1.1913314657508e-13,2.47547409231313e-11,DIXDC1,protein_coding
ENSG00000150768,1.231000149,4.311015188,5.381233573,0.020354481,0.108449361,DLAT,protein_coding
ENSG00000150773,1.18481856,0.226680788,2.120196413,0.145367901,0.347201857,PIH1D2,protein_coding
ENSG00000150776,-0.428236732,4.465184824,1.18516435,0.276307139,0.491429747,NKAPD1,protein_coding
ENSG00000150779,0.993419047,5.439291783,1.770149855,0.183363534,0.391595748,TIMM8B,protein_coding
ENSG00000150782,3.037538249,7.546955047,6.593858442,0.010233115,0.067372936,IL18,protein_coding
ENSG00000150783,-1.098624374,-1.515681819,1.188305172,0.27567169,0.490637854,TEX12,protein_coding
ENSG00000150787,0.605839192,4.061898335,1.166849307,0.28004957,0.49533355,PTS,protein_coding
ENSG00000150867,-0.47564863,5.304533211,0.873324821,0.350036499,0.566025474,PIP4K2A,protein_coding
ENSG00000150873,2.204806374,1.41233648,1.703913468,0.191776975,0.400469703,C2orf50,protein_coding
ENSG00000150893,-0.05434138,2.049570749,0.000719961,0.978593659,0.99095687,FREM2,protein_coding
ENSG00000150907,-2.716698042,4.621605027,32.33087483,1.30030734507219e-08,6.88267672685113e-07,FOXO1,protein_coding
ENSG00000150938,-0.909094828,6.765483664,1.460317436,0.22687962,0.43906796,CRIM1,protein_coding
ENSG00000150961,-0.384616332,5.052478727,0.435255694,0.509421264,0.69915827,SEC24D,protein_coding
ENSG00000150967,0.665668372,3.124874059,1.733660191,0.187944132,0.396286999,ABCB9,protein_coding
ENSG00000150977,-1.910340672,4.174466808,20.25813243,6.76652187411021e-06,0.000178926,RILPL2,protein_coding
ENSG00000150990,0.834951584,4.66430116,3.028617337,0.081807703,0.2528983,DHX37,protein_coding
ENSG00000150991,-0.317062562,9.537441806,0.672160931,0.412299221,0.621723936,UBC,protein_coding
ENSG00000150995,-3.435491786,4.462030191,44.02225363,3.24663614509243e-11,3.16964448793738e-09,ITPR1,protein_coding
ENSG00000151006,1.090871799,-1.843999747,1.585717667,0.207939028,0.418148757,PRSS53,protein_coding
ENSG00000151012,4.409258845,7.231175768,6.43694791,0.011177052,0.071605337,SLC7A11,protein_coding
ENSG00000151014,1.622740418,2.176431046,5.432065444,0.019770283,0.106423159,NOCT,protein_coding
ENSG00000151023,1.291236836,0.205003811,1.765605419,0.183926879,0.391999502,ENKUR,protein_coding
ENSG00000151025,3.656922756,-0.56909142,2.779034443,0.095505731,0.275620272,GPR158,protein_coding
ENSG00000151062,-0.35326779,0.527121128,0.429985333,0.511996145,0.701261188,CACNA2D4,protein_coding
ENSG00000151065,-1.707109341,3.477985866,12.06139052,0.000514769,0.007130939,DCP1B,protein_coding
ENSG00000151067,-4.928653675,3.765307522,69.20083232,8.89305088128608e-17,4.34107926590779e-14,CACNA1C,protein_coding
ENSG00000151079,-1.420276456,-3.302938486,0.682552646,0.408709113,0.618824349,KCNA6,protein_coding
ENSG00000151090,-1.3045341,3.551233289,3.469849003,0.062497015,0.217106505,THRB,protein_coding
ENSG00000151092,0.554632889,4.457714382,1.379074811,0.240258804,0.453404454,NGLY1,protein_coding
ENSG00000151093,0.72646728,3.773364249,2.0704218,0.150179981,0.352879352,OXSM,protein_coding
ENSG00000151116,-0.048396194,3.955277438,0.013872698,0.906240062,0.955125283,UEVLD,protein_coding
ENSG00000151117,-0.213929703,2.165500908,0.104264006,0.74677145,0.861054955,TMEM86A,protein_coding
ENSG00000151131,0.777970254,3.996082468,1.570955607,0.210068291,0.420587734,C12orf45,protein_coding
ENSG00000151135,-0.967963919,5.185073058,3.38676575,0.065721747,0.223330486,TMEM263,protein_coding
ENSG00000151136,3.190311992,3.503976746,7.973020943,0.004747964,0.039083009,BTBD11,protein_coding
ENSG00000151148,0.314594704,6.187285698,0.667362212,0.413972774,0.623056072,UBE3B,protein_coding
ENSG00000151150,0.200659709,4.44383942,0.102473499,0.74888129,0.862455347,ANK3,protein_coding
ENSG00000151151,1.183915794,3.721911747,3.472995486,0.062378255,0.216906205,IPMK,protein_coding
ENSG00000151164,1.619648438,0.869267384,4.969515228,0.025797877,0.126674455,RAD9B,protein_coding
ENSG00000151176,-0.791189909,5.080825412,3.065574321,0.0799669,0.249376284,PLBD2,protein_coding
ENSG00000151208,1.048311228,6.182766663,1.765706986,0.183914267,0.391999502,DLG5,protein_coding
ENSG00000151224,2.699560446,1.11062587,2.964360344,0.085118116,0.258685387,MAT1A,protein_coding
ENSG00000151229,-0.688649436,2.76482974,1.209141545,0.271502203,0.48638541,SLC2A13,protein_coding
ENSG00000151233,0.206712617,3.949860973,0.176626584,0.674288474,0.814736871,GXYLT1,protein_coding
ENSG00000151239,1.072290451,8.705520533,4.195895215,0.040521953,0.167136752,TWF1,protein_coding
ENSG00000151240,-1.528264162,4.126640779,9.839973397,0.0017076,0.018296256,DIP2C,protein_coding
ENSG00000151247,0.259196131,5.297955012,0.335342075,0.562530284,0.740007299,EIF4E,protein_coding
ENSG00000151276,-1.03582223,3.687848892,4.083380636,0.043306931,0.174071106,MAGI1,protein_coding
ENSG00000151287,0.95804419,3.756906311,2.532245391,0.111541391,0.299635954,TEX30,protein_coding
ENSG00000151292,0.200015876,7.481885464,0.228447542,0.632677349,0.787976937,CSNK1G3,protein_coding
ENSG00000151303,-1.866374422,-4.318548381,2.46325556,0.11653702,0.30725662,AL136982.1,lncRNA
ENSG00000151304,0.979680842,6.000396943,3.666686004,0.055510454,0.202480488,SRFBP1,protein_coding
ENSG00000151320,-2.594237395,1.504592615,26.01872011,3.38122819166754e-07,1.26963260779428e-05,AKAP6,protein_coding
ENSG00000151322,-2.882270644,0.489553808,12.99624497,0.000312116,0.00470746,NPAS3,protein_coding
ENSG00000151327,0.709019548,6.031562766,1.087195591,0.297093411,0.513462008,FAM177A1,protein_coding
ENSG00000151332,-0.36509806,4.212689369,0.313371475,0.575618645,0.749323667,MBIP,protein_coding
ENSG00000151338,0.499028975,5.894013678,0.464987719,0.495302135,0.688920242,MIPOL1,protein_coding
ENSG00000151348,-0.574320401,6.475116385,1.453484846,0.227969602,0.439848596,EXT2,protein_coding
ENSG00000151353,-0.795395354,4.536995532,4.060190616,0.043905543,0.175468118,TMEM18,protein_coding
ENSG00000151360,0.842206521,-4.169683113,0.178442968,0.672714758,0.813879261,ALLC,protein_coding
ENSG00000151364,1.985818803,0.419588849,2.561664883,0.109483231,0.296939128,KCTD14,protein_coding
ENSG00000151365,2.992218675,-1.961513111,0.78635664,0.375204076,0.589037263,THRSP,protein_coding
ENSG00000151366,0.12509219,4.509322789,0.039335597,0.842785288,0.920161038,NDUFC2,protein_coding
ENSG00000151376,-1.605565125,2.80871762,6.201915151,0.012761216,0.078646427,ME3,protein_coding
ENSG00000151379,6.675084789,-2.329056639,5.695633838,0.017007169,0.096427263,MSGN1,protein_coding
ENSG00000151388,0.221477251,2.788830803,0.060598527,0.805552433,0.897545523,ADAMTS12,protein_coding
ENSG00000151413,0.072862392,3.212492733,0.029496758,0.863637062,0.931909844,NUBPL,protein_coding
ENSG00000151414,-0.168207629,8.530515028,0.090078076,0.764077921,0.872418385,NEK7,protein_coding
ENSG00000151418,2.283083156,-3.009212864,0.599496298,0.438770276,0.643840805,ATP6V1G3,protein_coding
ENSG00000151422,-0.403616324,3.709672118,0.612242694,0.433944644,0.639837834,FER,protein_coding
ENSG00000151445,-0.095293364,5.0180992,0.056116543,0.812742666,0.901579505,VIPAS39,protein_coding
ENSG00000151458,0.380104312,4.701516527,0.427444531,0.513245549,0.701878352,ANKRD50,protein_coding
ENSG00000151461,-0.038090172,5.699947051,0.007849961,0.929399805,0.967037506,UPF2,protein_coding
ENSG00000151465,0.795041367,5.385840498,3.059895088,0.08024685,0.249831078,CDC123,protein_coding
ENSG00000151466,1.506717727,3.451162579,7.618449419,0.005777414,0.044787703,SCLT1,protein_coding
ENSG00000151468,-2.12584722,4.574445419,9.562648327,0.001985764,0.020513338,CCDC3,protein_coding
ENSG00000151470,1.232757595,6.03584528,4.502185147,0.033851569,0.149274061,C4orf33,protein_coding
ENSG00000151474,0.688457833,3.184290631,0.805804917,0.369363442,0.584072086,FRMD4A,protein_coding
ENSG00000151490,-0.061929571,2.582774938,0.002793425,0.957849146,0.980942915,PTPRO,protein_coding
ENSG00000151491,-1.759875207,8.066910775,7.916322506,0.004899075,0.039920844,EPS8,protein_coding
ENSG00000151498,-0.483611329,4.786693477,1.459689833,0.226979478,0.439150669,ACAD8,protein_coding
ENSG00000151500,-0.487595567,5.355909453,0.717139269,0.397083887,0.608294933,THYN1,protein_coding
ENSG00000151502,-0.526949552,4.910582334,1.690586663,0.193523652,0.402540955,VPS26B,protein_coding
ENSG00000151503,2.230232154,5.9840843,15.23046273,9.51560339768643e-05,0.001722386,NCAPD3,protein_coding
ENSG00000151532,0.63953054,4.167015113,1.973765234,0.16004877,0.3643482,VTI1A,protein_coding
ENSG00000151552,-0.608394121,4.670567767,1.773615242,0.182935297,0.391142959,QDPR,protein_coding
ENSG00000151553,-1.179333528,4.021622746,9.444309754,0.002118052,0.021482999,FAM160B1,protein_coding
ENSG00000151572,-3.278741369,0.474169753,9.891934514,0.001660048,0.017919075,ANO4,protein_coding
ENSG00000151575,1.08288371,4.487517391,3.127673402,0.07697352,0.244245177,TEX9,protein_coding
ENSG00000151576,1.473983832,4.711872089,8.976307366,0.002735028,0.026096904,QTRT2,protein_coding
ENSG00000151577,5.144788053,-3.526215285,3.203925099,0.073461766,0.238233648,DRD3,protein_coding
ENSG00000151611,0.397854345,2.598406173,0.536781768,0.463769535,0.663310891,MMAA,protein_coding
ENSG00000151612,-0.831557087,3.585416572,2.11821742,0.14555587,0.347483285,ZNF827,protein_coding
ENSG00000151617,-2.816346086,4.115081608,19.67113359,9.19803723466324e-06,0.000231479,EDNRA,protein_coding
ENSG00000151623,-2.117165382,3.042562124,6.122210491,0.013349377,0.081422726,NR3C2,protein_coding
ENSG00000151631,4.915958804,-3.678884999,8.393415528,0.003765826,0.032808984,AKR1C6P,unprocessed_pseudogene
ENSG00000151632,5.072979428,7.354110949,4.50564353,0.033783182,0.149122174,AKR1C2,protein_coding
ENSG00000151640,-1.093800768,-0.444797326,1.371499025,0.241554497,0.454455246,DPYSL4,protein_coding
ENSG00000151650,-1.912757584,-1.556711351,8.040573777,0.004574105,0.037956675,VENTX,protein_coding
ENSG00000151651,2.100234043,4.147689092,4.334857758,0.037339536,0.158474019,ADAM8,protein_coding
ENSG00000151655,0.717714831,-1.185092187,0.306496191,0.579838264,0.752380348,ITIH2,protein_coding
ENSG00000151657,0.03887127,3.464753446,0.010210665,0.919512488,0.961894263,KIN,protein_coding
ENSG00000151665,1.264356416,2.431001052,5.046872519,0.024670429,0.122801439,PIGF,protein_coding
ENSG00000151687,-0.417891373,0.462050643,0.903533293,0.341836069,0.557381725,ANKAR,protein_coding
ENSG00000151689,0.726682627,6.088506451,0.90861844,0.340481253,0.55613023,INPP1,protein_coding
ENSG00000151690,1.064834434,5.749718745,3.585986939,0.058268795,0.208656295,MFSD6,protein_coding
ENSG00000151692,-1.899592343,5.347800193,15.2291935,9.52200053844652e-05,0.00172253,RNF144A,protein_coding
ENSG00000151693,1.453534805,5.094227477,2.40724888,0.120774451,0.313518995,ASAP2,protein_coding
ENSG00000151694,1.340852795,4.761603646,5.557554554,0.018401101,0.101687161,ADAM17,protein_coding
ENSG00000151702,-2.01446127,3.969795142,10.10681403,0.001477221,0.016400355,FLI1,protein_coding
ENSG00000151704,0.928963396,-3.065131358,0.368441203,0.543855175,0.724797197,KCNJ1,protein_coding
ENSG00000151715,4.390867632,4.859075807,8.506239009,0.003539308,0.031476099,TMEM45B,protein_coding
ENSG00000151718,-0.824209032,3.265373397,1.193901469,0.274543994,0.489338788,WWC2,protein_coding
